label,question
1,어제 나의 식단 평가가 BAD인 이유가 뭐야?
1,나왜 어제 BAD?
1,나 왜 BAD?
1,내 식단 뭐가 문제야?
1,"어제 나의 식단 평가가 GOOD이던데, 왜그렇지?"
1,내 식단 결과가 그런 이유를 알려줘.
1,나 어제 많이 먹었는데도 식단 결과가 perfect야. 왜그러지?
1,나 일주일전에 나쁜거 안 먹은 것 같은데 왜 결과가 bad야?
1,식단관리 잘한것같은데 왜 normal이 나와?
1,식단 평가 결과에 대한 설명을 해줘
0,배고파
0,오늘 저녁은 뭐먹지?
0,치킨을 먹고 싶네
0,피자도 맛있겠다 먹으면 식단에 안좋겠지?
0,내가 건강하려면 뭐먹어야해?
0,안녕
0,오늘 날씨 어때?
0,어제 바람이 많이 불더라
0,너는 군고구마 좋아해?
0,붕어빵 맛있겠다
0,다음 휴가 때 경주 여행 가고 싶어.
1,영양가 높은 음식을 먹었는데 식단 평가가 왜 이래?
1,영양소가 높은 음식을 먹었는데 식단 평가가 왜 이래?
0,오늘 주말 날씨 어때? 나가기 좋은 날씨인지 궁금해.
0,오늘 음식를 줄여야 할까? 식단 평가가 좋지 않아서 걱정이야.
0,지방 관리를 어떻게 해야 할까? 식단 평가가 계속 나빠.
0,주말에 공부 할 계획이 있어?
1,평가가 높은 음식을 먹었는데 식단 평가가 왜 이래?
1,어제 지방이 많은 식사를 했는데 왜 BAD라고 나왔지?
0,영양소 관리를 어떻게 해야 할까? 식단 평가가 계속 나빠.
0,새로 시작한 기분 어때? 재미있어 보여!
0,오늘 음식를 줄여야 할까? 식단 평가가 좋지 않아서 걱정이야.
0,오늘 휴가가 어때? 나가기 좋은 날씨인지 궁금해.
0,요즘 취미가 뭐야?
0,나의 지방 섭취를 줄이려면 어떻게 해야 할까?
0,나의 평가가 좋아지려면 어떻게 해야 할까?
0,너의 취미는 뭐야? 나가기 좋은 날씨인지 궁금해.
0,나의 지방 섭취를 줄이려면 어떻게 해야 할까?
1,어제 단백질이 많은 식사를 했는데 왜 BAD라고 나왔지?
0,오늘 계획이 어때? 나가기 좋은 날씨인지 궁금해.
0,겨울 음식 추천해ㅜ저
0,식단 평가가 좋지 않아서 걱정이야.
0,지방 관리를 어떻게 해야 할까? 식단 평가가 계속 나빠.
0,칼로리 관리를 어떻게 해야 할까? 식단 평가가 계속 나빠.
0,피자먹고 싶어.
1,어제 단백질 수치가 높은 음식을 먹었는데 식단 평가가 왜 이래?
1,그저께 내가 식단 평가가 좋던데 이유가 뭐야?
0,오늘 탄수화물를 줄여야 할까? 식단 평가가 좋지 않아서 걱정이야.
1,3월 7일에 골고루 먹었는데 식단 평가가 왜 이래?
0,주말에 공부 할 계획이 있어?
0,요즘 음식 트렌드가 뭐야?
0,주말에 운동할 계획이 있어?
0,나의 당류 섭취를 줄이려면 어떻게 해야 할까?
1,어제 닭가슴살을 먹었는데 왜 BAD라고 나왔지?
0,다음 휴가 때 호주로 여행 가고 싶어.
1,일주일 전에 먹은 음식 평가가 좋지 않아서 걱정이야. 왜그랬지?
0,나의 손목 통증을 업애려면 어떻게 해야 할까?
0,딸의 식단 평가가 좋아지려면 어떻게 해야 할까?
