Text,Completion
User: 식단 평가가 좀 이상한 거 같은데?,Assistant: 1
User: 식단에 대해 간략하게 분석해줘,Assistant: 1
User: 식단 평가가 좀 이상하게 느껴져.,Assistant: 1
User: 식단에 대한 간략한 분석 부탁해.,Assistant: 1
User: 식단 평가가 좀 이상한 거 같아. 어떻게 생각해?,Assistant: 1
"User: 식단에 대해 간략하게 분석해줘, 부탁해.",Assistant: 1
User: 식단 결과가 좀 의아하게 느껴져.,Assistant: 1
User: 식단 평가에 대해 간략하게 분석 좀 해줘.,Assistant: 1
User: 식단 결과가 조금 이상하게 느껴져.,Assistant: 1
User: 식단에 대한 간략한 분석 결과를 부탁해.,Assistant: 1
User: 식단 결과가 좀 이상한 거 같아. 어떻게 생각해?,Assistant: 1
User: 나 왜 BAD?,Assistant: 1
User: 내 식단 뭐가 문제야?,Assistant: 1
User: 나 많이 먹었는데도 식단 결과가 perfect야. 왜그러지?,Assistant: 1
User: 식단관리 잘한것같은데 왜 normal이 나와?,Assistant: 1
User: 지방이 많은 식사를 했는데 왜 BAD라고 나왔지?,Assistant: 1
User: 지방이 적은 식사를 했는데 왜 BAD라고 나왔지?,Assistant: 1
User: 탕후루 먹어서 Bad야?,Assistant: 1
User: 디저트 많이 먹으면 Bad니?,Assistant: 1
User: 단백질이 많은 식사를 했는데 왜 BAD라고 나왔지?,Assistant: 1
User: 단백질 수치가 높은 음식을 먹었는데 식단 평가가 왜 이래?,Assistant: 1
User: 닭가슴살을 먹었는데 왜 BAD라고 나왔지?,Assistant: 1
User: 영양소가 많은 식사를 했는데 왜 BAD라고 나왔지?,Assistant: 1
User: 지방 많이 먹었는데 왜 perfect야?,Assistant: 1
User: 평가가 높은 음식을 먹었는데 식단 평가가 왜 이래?,Assistant: 1
User: 왜 Perfect이라고 나왔지?,Assistant: 1
User: 왜 Not Bad라고 나왔지?,Assistant: 1
User: 왜 Very Good이라고 나왔지?,Assistant: 1
User: 단백질이 높은 식사를 했는데 결과가 GOOD이라니 놀랍다.,Assistant: 1
User: perfect 왜나옴?,Assistant: 1
User: 완벽 왜 나옴?,Assistant: 1
User: bad 왜나옴?,Assistant: 1
User: 내 식단 왜 좋음?,Assistant: 1
User: not bad가 많은 식사를 했는데 왜 BAD라고 나왔지?,Assistant: 1
User: good 어케 나옴?,Assistant: 1
User: 내 식단 왜 최악이야?,Assistant: 1
User: 내 식단 왜 나쁜데?,Assistant: 1
User: 내가 먹은거 왜 평가 나빠??,Assistant: 1
User: 식단 평가가 왜 이래?,Assistant: 1
User: 식단 평래?가가 왜 이,Assistant: 1
User: 커피,Assistant: 0
User: 새로 시작한 취미 어때? 재미있어 보여!,Assistant: 0
User: 최근에 새로운 운동을 시작했는데 정말 즐겁다,Assistant: 0
User: 오늘 저녁엔 필라테스를 하며 시간을 보낼까 해,Assistant: 0
User: 이번 주말은 공부와 함께 보낼 계획이야,Assistant: 0
User: 오늘 저녁은 필라테스를 했어 잘했지?,Assistant: 0
User: 다음 휴가때 여행가고 싶다,Assistant: 0
User: 아싸 겨울이다,Assistant: 0
User: JUJ,Assistant: 0
User: 내일 날씨 어떨까?,Assistant: 0
User: 컴퓨터 사양 추천 좀,Assistant: 0
User: 식단 관리 꿀팁 부탁,Assistant: 0
User: 영화가 좋다!,Assistant: 0
User: 운명,Assistant: 0
User: Normal한 삶이다,Assistant: 0
User: Good Choice,Assistant: 0
User: Good이 뜨다니!! 확인해 볼 수 있나?,Assistant: 1
User: 운동 후에 하는 산책은 식단을 먹을 때도 좋겠지?,Assistant: 0
User: 식단 후에 바로 누우면 어때?,Assistant: 0
User: 나 이제부터 다이어트다!,Assistant: 0
User: 이번주 식단은 잘 지키지 못했어,Assistant: 0
User: Very Good 기준을 말해줄 수 있어?,Assistant: 1
User: 오늘 날씨 진짜 Perfect다,Assistant: 0
User: 명사,Assistant: 0
User: 단어,Assistant: 0
User: 오늘 식단 출력,Assistant: 1
User: 당이 떨어지네 오늘,Assistant: 0
User: 오늘 기분이 Not Bad한대~,Assistant: 0
User: 오늘 Not Bad네,Assistant: 1
User: 나 운동 새로 시작했어!,Assistant: 0
User: 최근에 새로운 식단을 시도했는데 좋아,Assistant: 0
User: 당류 섭취를 줄이려면 어떻게 해야해?,Assistant: 0
User: 당류가 얼마였어?,Assistant: 1
User: 탄수화물이 적으면서 몸에 좋은 음식,Assistant: 0
User: 탄수화물이 얼마였지?,Assistant: 1
User: 지방이 없는 맛있는 음식 추천,Assistant: 0
User: 커피는 살이 찌니?,Assistant: 0
User: 아 출출하다,Assistant: 0
User: Perfect Night,Assistant: 0
User: i feel Bad,Assistant: 0
User: Perfect한 식단이네,Assistant: 1
User: 오늘 식단 진짜 Bad였지?,Assistant: 1
User: Not Bad면 선방했나?,Assistant: 1
User: 와우 Very Good,Assistant: 1
User: Good 식단 보여줘,Assistant: 1
User: Bad한 음식이 뭐있어,Assistant: 0
User: Not Bad 받으려면 어떤 음식을 먹어야 해?,Assistant: 0
User: Bad받은 이유가 뭐야?,Assistant: 1
User: Not Bad 받은 이유가 뭐야? Good이라고 생각했는데,Assistant: 1
User: DX 매니저님 이쁘시다,Assistant: 0
User: 기분 좋아,Assistant: 0
User: 식단 Perfect네 기분 좋다,Assistant: 0
User: Perfect 기준이 있나?,Assistant: 1
User: 회는 살찌나?,Assistant: 0
User: 나 왜 Bad?,Assistant: 1
User: 나 왜 NotBad?,Assistant: 1
User: 나 왜 Not Bad,Assistant: 1
User: 나 왜 Bad,Assistant: 1
User: 나 왜 Normal?,Assistant: 1
User: Normal,Assistant: 1
User: Good,Assistant: 1
User: Perfect,Assistant: 1
User: NotBad,Assistant: 1
User: 식단평가,Assistant: 1
User: 울적한 이 마음 아주 Bad,Assistant: 0
User: Bad Bitch,Assistant: 0
User: 행복을 줄 순 없어서,Assistant: 0
